WEEK,UNITS1,REGPR1,CUT1,FEAT1,DISP1,UNITS2,REGPR2,CUT2,FEAT2,DISP2,UNITS3,REGPR3,CUT3,FEAT3,DISP3,UNITS4,REGPR4,CUT4,FEAT4,DISP4
1,144,1.3303,0,0,0,569,0.9355,0,0,0,19,1.0689,0,0,0,89,0.8293,0,0,0
2,229,1.3127,0,0,0,276,0.9478,0,0,0,88,1.0689,0.1434,0,0,73,0.89,0,0,0
3,244,1.29,0,0,0,122,0.9809,0,0,0,1519,1.0685,0,0,0,66,0.89,0,0,0
4,214,1.29,0,0,0,481,0.9809,0.0637,0,0,411,1.0685,0.0487,0,0,55,0.89,0,0,0
5,261,1.29,0,0,0,506,0.9809,0.062,0,0.8004,87,1.0685,0.086,0,0,65,0.89,0,0,0
6,213,1.29,0,0,0,1072,0.9809,0.0962,1,0.7043,132,1.0685,0.0999,0,0,20,0.89,0,0,0
7,188,1.29,0,0,0,628,0.9809,0.0826,0,0,93,1.0685,0.1308,0,0,56,0.89,0,0,0
8,209,1.1646,0,0,0,452,0.9809,0.0927,1,0,222,1.0685,0.184,0,0.6306,54,0.8289,0,0,0
9,302,1.1646,0.0746,0,0,363,0.9443,0,0,0.5868,351,1.0685,0.2185,0,0.6781,76,0.8289,0.0389,0,0
10,280,1.1646,0.0746,0,0,237,0.9543,0,0,0.5443,151,1.0685,0.2064,0,0,98,0.8289,0.0389,0,0
11,290,1.1646,0.0637,0,0,187,0.9594,0,0,0,156,1.0685,0.1988,0,0,139,0.8289,0.0389,0,0
12,256,1.1758,0,0,0,193,1.0236,0,0,0,184,1.0685,0.178,0,0.6196,108,0.8289,0.0278,0,0
13,273,1.1838,0,0,0,177,1.0381,0,0,0,134,1.0685,0.1278,0,0,131,0.8235,0,0,0
14,3237,1.1797,0,1,0,105,1.0575,0,0,0,60,1.0685,0.1065,0,0,60,0.8235,0,0,0
15,1113,1.18,0,0,0,267,1.0151,0,0,0.7491,55,1.0685,0.0847,0,0,105,0.811,0,0,0
16,152,1.18,0,0,0,127,1.0396,0,0,0,100,1.0685,0.0813,0,0,87,0.8291,0,0,0
17,1177,1.18,0.1792,1,0,74,1.04,0,0,0,167,1.0685,0.0745,1,0,71,0.8041,0,0,0
18,699,1.18,0.1552,0,0,98,1.0614,0,0,0,42,1.0486,0,0,0,104,0.8265,0,0,0
19,499,1.18,0,0,0.7054,102,1.0488,0,0,0,81,1.0525,0,0,0,111,0.8332,0,0,0
20,265,1.18,0,0,0,149,1.0699,0,0,0,55,1.0482,0,0,0,147,0.8424,0,0,0
21,244,1.1805,0,0,0,208,1.0742,0,0,0,70,1.0731,0,0,0,160,0.8607,0,0,0
22,1346,1.1805,0.1773,1,0,95,1.0782,0,0,0,31,1.1252,0,0,0,67,0.87,0,0,0
23,764,1.1805,0.1473,0,0,98,1.0886,0,0,0,69,1.1119,0,0,0,104,0.8717,0,0,0
24,204,1.1851,0,0,0,158,1.0934,0,0,0,400,1.1119,0.1539,1,0,87,0.8759,0,0,0
25,213,1.1931,0,0,0,138,1.0875,0,0,0,323,1.1119,0.0913,0,0.4768,122,0.874,0,0,0
26,216,1.1895,0,0,0,131,1.0935,0,0,0,135,1.1268,0,0,0,83,0.8765,0,0,0
27,3370,1.1918,0,1,0,141,1.1014,0,0,0,132,1.1214,0,0,0,105,0.8782,0,0,0
28,837,1.18,0,0,0,410,1.09,0,1,0,51,1.09,0,0,0,97,0.89,0,0,0
29,215,1.18,0,0,0,464,1.09,0,1,0,38,1.09,0,0,0,117,0.89,0,0,0
30,193,1.18,0,0,0,256,1.09,0,0,0,44,1.09,0,0,0,116,0.89,0,0,0
31,255,1.18,0,0,0,156,1.1092,0,0,0,43,1.1133,0,0,0,107,0.89,0,0,0
32,200,1.18,0,0,0,291,1.123,0,0,0.5361,21,1.109,0,0,0,135,0.89,0,0,0
33,1179,1.18,0.1885,1,0,182,1.132,0,0,0,14,1.1243,0,0,0,123,0.89,0,0,0
34,600,1.18,0.1575,0,0,136,1.1093,0,0,0,33,1.1243,0.0598,0,0,134,0.893,0,0,0
35,390,1.18,0.0678,0,0,222,1.1359,0,0,0,47,1.1191,0,0,0,201,0.8805,0,0,0
36,256,1.1796,0,0,0,199,1.1141,0,0,0,52,1.0823,0,0,0,167,0.8886,0,0,0
37,291,1.1804,0,0,0,246,1.1355,0,0,0,52,1.0977,0,0,0,156,0.8915,0,0,0
38,275,1.18,0,0,0,201,1.1527,0,0,0,50,1.09,0,0,0,160,0.89,0,0,0
39,153,1.1779,0,0,0,127,1.1439,0,0,0,756,1.09,0.2967,1,0,73,0.8922,0,0,0
40,253,1.1813,0,0,0,180,1.1542,0,0,0,501,1.09,0.2682,0,0,115,0.8886,0,0,0
41,347,1.18,0,0,0,268,1.1482,0,0,0,76,1.0084,0,0,0,125,0.89,0,0,0
42,306,1.18,0,0,0,237,1.1491,0,0,0,72,1.0108,0,0,0,144,0.89,0,0,0
